title;tags;contentWarn;watched;watching;rating
Fullmetal Alchemist: Brotherhood;;;;;
your name.;['Drama', 'Romance', 'Body Swapping', 'Gender Bender', 'Opposites Attract', 'School Life', 'Supernatural', 'Original Work'];[];58831;1453;4.663
A Silent Voice;['Drama', 'Shounen', 'Disability', 'Melancholy', 'Mental Illness', 'School Life', 'Based on a Manga'];['Bullying', 'Mature Themes', 'Suicide'];45892;946;4.661
Haikyuu!! Karasuno High School vs Shiratorizawa Academy;['Shounen', 'Sports', 'Animeism', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga'];[];25134;2183;4.66
Attack on Titan 3rd Season: Part II;['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Based on a Manga'];['Cannibalism', 'Explicit Violence'];21308;3217;4.65
Demon Slayer: Kimetsu no Yaiba;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Based on a Manga'];['Violence'];28708;10844;4.647
Haikyuu!! Second Season;['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga'];[];31329;3861;4.639
Hunter x Hunter (2011);['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen', 'Monsters', 'Superpowers', 'Based on a Manga'];['Violence'];50195;17730;4.635
Gintama Kanketsu-hen: Yorozuya yo Eien Nare;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Feudal Japan', 'Samurai', 'Swordplay', 'Time Travel', 'Based on a Manga'];[];8454;280;4.625
Gintama (2015);['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];7862;3154;4.622
Mob Psycho 100 II;['Action', 'Comedy', 'Shounen', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga'];[];18421;3890;4.621
Code Geass: Lelouch of the Rebellion R2;;;;;
Kaguya-sama: Love Is War?;['Comedy', 'Drama', 'Romance', 'Seinen', 'Episodic', 'Love Confession', 'Mind Games', 'School Life', 'Student Council', 'Based on a Manga'];[];;6368;4.617
Haikyuu!! To the Top;['Shounen', 'Sports', 'Animeism', 'School Club', 'Tournaments', 'Volleyball', 'Based on a Manga'];[];6296;4434;4.612
The Promised Neverland;['Fantasy', 'Horror', 'Mystery', 'Sci Fi', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Mind Games', 'noitaminA', 'Orphans', 'Outside World', 'Psychological', 'Thriller', 'Based on a Manga'];['Mature Themes', 'Domestic Abuse', 'Self-Harm'];23387;4711;4.611
My Hero Academia 3;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Based on a Manga'];['Violence'];47250;13292;4.607
March Comes in like a Lion 2nd Season;['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Melancholy', 'Orphans', 'Psychological', 'Based on a Manga'];['Bullying', 'Emotional Abuse'];4787;760;4.604
Mushishi Zoku Shou 2nd Season;['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga'];[];7494;795;4.601
My Hero Academia 2;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'School Life', 'Superheroes', 'Superpowers', 'Tournaments', 'Weak to Strong', 'Based on a Manga'];['Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse'];64695;10533;4.601
Natsume's Book of Friends Season 6;['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];4845;562;4.599
Gintama';['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];12770;2585;4.599
Gintama.: Shirogane no Tamashii-hen 2;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];2973;574;4.599
Gintama.;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];6196;1200;4.598
Gintama': Enchousen;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];10589;1103;4.596
One-Punch Man;['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Cyborgs', 'Monsters', 'Overpowered Main Characters', 'Parody', 'Satire', 'Superheroes', 'Superpowers', 'Based on a Manga'];['Explicit Violence'];85357;7342;4.593
Clannad After Story;;;;;
Spirited Away;['Adventure', 'Fantasy', 'Curse', 'Family Friendly', 'Isekai', 'Japanese Mythology', 'Magic', 'Person in a Strange World', 'Youkai', 'Original Work'];[];115949;589;4.588
Vinland Saga;['Action', 'Seinen', 'England', 'Europe', 'Historical', 'Medieval', 'Revenge', 'Swordplay', 'War', 'Weak to Strong', 'Based on a Manga'];['Violence'];7707;3834;4.586
Mushishi Zoku Shou;['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga'];[];8421;874;4.584
Gintama.: Shirogane no Tamashii-hen;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga'];[];3627;507;4.582
Wolf Children;['Fantasy', 'Slice of Life', 'Animal Characteristics', 'Animal Transformation', 'Childcare', 'Coming of Age', 'Contemporary Fantasy', 'Countryside', 'Family Life', 'Lifestyle Change', 'Single Parent', 'Werewolves', 'Original Work'];[];35896;538;4.578
Rascal Does Not Dream of a Dreaming Girl;['Drama', 'Romance', 'Illness', 'Senpai-Kouhai Relationship', 'Supernatural', 'Time Travel', 'Based on a Light Novel'];[];3963;229;4.573
Natsume's Book of Friends Season 4;;;;;
Made in Abyss;['Adventure', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Curse', 'Dark Fantasy', 'Melancholy', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Based on a Manga'];['Explicit Violence'];18351;2067;4.566
Hajime no Ippo: New Challenger;;;;;
Haikyuu!!;['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga'];[];39929;6332;4.565
Natsume's Book of Friends Season 5;['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];5589;661;4.561
Hajime no Ippo: The Fighting!;['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Weak to Strong', 'Based on a Manga'];[];19646;1694;4.56
Howl's Moving Castle;;;;;
Code Geass: Lelouch of the Rebellion;;;;;
